settlement_id,payment_id,order_id,amount,fee,tax,net_amount,utr,settled_at,notes.reference
setl_0027,pay_0027,order_0027,3675465,73509,13232,3588724,UTR0027,2026-08-09,INV-88027
setl_0028,pay_0028,order_0028,2490193,49804,8965,2431424,UTR0028,2026-08-08,INV-88028
setl_0029,pay_0029,order_0029,4198833,83977,15116,4099740,UTR0029,2026-08-05,INV-88029
setl_0030,pay_0030,order_0030,3772544,75451,13581,3683512,UTR0030,2026-08-18,INV-88030
setl_0031,pay_0031,order_0031,2877474,57549,10359,2809566,UTR0031,2026-08-17,INV-88031
setl_0032,pay_0032,order_0032,2597747,51955,9352,2536440,UTR0032,2026-08-16,INV-88032
setl_0033,pay_0033,order_0033,2049000,40980,7376,2000644,UTR0033,2026-08-14,INV-88033
setl_0034,pay_0034,order_0034,154820,3096,557,151167,UTR0034,2026-08-18,INV-88034
setl_0035,pay_0035,order_0035,3818820,76376,13748,3728696,UTR0035,2026-08-05,INV-88035
setl_0036,pay_0036,order_0036,599840,11997,2159,585684,UTR0036,2026-08-12,INV-88036
setl_0037,pay_0037,order_0037,2899151,57983,10437,2830731,UTR0037,2026-08-03,INV-88037
setl_0038,pay_0038,order_0038,2777740,55555,10000,2712185,UTR0038,2026-08-07,INV-88038
setl_0039,pay_0039,order_0039,1168915,23378,4208,1141329,UTR0039,2026-08-12,INV-88039
setl_0040,pay_0040,order_0040,4333237,86665,15600,4230972,UTR0040,2026-08-15,INV-88040
setl_0041,pay_0041,order_0041,3134628,62693,11285,3060650,UTR0041,2026-08-16,INV-88041
setl_0042,pay_0042,order_0042,2090314,41806,7525,2040983,UTR0042,2026-08-04,INV-88042
setl_0043,pay_0043,order_0043,2459529,49191,8854,2401484,UTR0043,2026-08-01,INV-88043
setl_0044,pay_0044,order_0044,1807962,36159,6509,1765294,UTR0044,2026-08-14,INV-88044
setl_0045,pay_0045,order_0045,4059754,81195,14615,3963944,UTR0045,2026-08-04,INV-88045
setl_0046,pay_0046,order_0046,3512843,70257,12646,3429940,UTR0046,2026-08-01,INV-88046
setl_0047,pay_0047,order_0047,505154,10103,1819,493232,UTR0047,2026-08-02,INV-88047
setl_0048,pay_0048,order_0048,1483909,29678,5342,1448889,UTR0048,2026-08-09,INV-88048
setl_0049,pay_0049,order_0049,2035575,40712,7328,1987535,UTR0049,2026-08-06,INV-88049
setl_0050,pay_0050,order_0050,2822790,56456,10162,2756172,UTR0050,2026-08-04,INV-88050
setl_0051,pay_0051,order_0051,1425077,28502,5130,1391445,UTR0051,2026-08-18,INV-88051
setl_0052,pay_0052,order_0052,2692928,53859,9695,2629374,UTR0052,2026-08-18,INV-88052
setl_0053,pay_0053,order_0053,1239489,24790,4462,1210237,UTR0053,2026-08-10,INV-88053
setl_0054,pay_0054,order_0054,1582728,31655,5698,1545375,UTR0054,2026-08-17,INV-88054
setl_0055,pay_0055,order_0055,3353432,67069,12072,3274291,UTR0055,2026-08-01,INV-88055
setl_0056,pay_0056,order_0056,3037882,60758,10936,2966188,UTR0056,2026-08-04,INV-88056
setl_0057,pay_0057,order_0057,2667550,53351,9603,2604596,UTR0057,2026-08-11,INV-88057
setl_0058,pay_0058,order_0058,3560323,71206,12817,3476300,UTR0058,2026-08-10,INV-88058
setl_0059,pay_0059,order_0059,1333662,26673,4801,1302188,UTR0059,2026-08-09,INV-88059
setl_0060,pay_0060,order_0060,1489965,29799,5364,1454802,UTR0060,2026-08-14,INV-88060
setl_0061,pay_0061,order_0061,3196523,63930,11507,3121086,UTR0061,2026-08-04,INV-88061
setl_0062,pay_0062,order_0062,127946,2559,461,124926,UTR0062,2026-08-10,INV-88062
setl_0063,pay_0063,order_0063,4633471,92669,16680,4524122,UTR0063,2026-08-04,INV-88063
setl_0064,pay_0064,order_0064,2089084,41782,7521,2039781,UTR0064,2026-08-01,INV-88064
setl_0065,pay_0065,order_0065,2662457,53249,9585,2599623,UTR0065,2026-08-04,INV-88065
setl_0066,pay_0066,order_0066,4083757,81675,14701,3987381,UTR0066,2026-08-10,INV-88066
setl_0067,pay_0067,order_0067,2648959,52979,9536,2586444,UTR0067,2026-08-02,INV-88067
setl_0068,pay_0068,order_0068,3326828,66537,11977,3248314,UTR0068,2026-08-13,INV-88068
setl_0069,pay_0069,order_0069,385850,7717,1389,376744,UTR0069,2026-08-09,INV-88069
setl_0070,pay_0070,order_0070,144002,2880,518,140604,UTR0070,2026-08-19,INV-88070
setl_0070b,pay_0070b,order_0070b,144002,2880,518,140604,UTR0070b,2026-08-19,INV-88070
setl_0071,pay_0071,order_0071,3113284,62266,11208,3039810,UTR0071,2026-08-14,INV-88071
setl_0072,pay_0072,order_0072,1794653,35893,6461,1752299,UTR0072,2026-08-07,INV-88072
setl_0073,pay_0073,order_0073,197462,3949,711,192802,UTR0073,2026-08-18,INV-88073
setl_0074,pay_0074,order_0074,2996738,59935,10788,2926015,UTR0074,2026-08-06,INV-88074
setl_0075,pay_0075,order_0075,4628905,92578,16664,4519663,UTR0075,2026-08-01,INV_88075
setl_0076,pay_0076,order_0076,419127,8383,1509,409235,UTR0076,2026-08-01,INV-88076
setl_0077,pay_0077,order_0077,2547229,50945,9170,2487114,UTR0077,2026-08-03,INV-88077
setl_0078,pay_0078,order_0078,3836669,76733,13812,3746124,UTR0078,2026-08-10,INV-88078
setl_0079,pay_0079,order_0079,197700,3954,712,193034,UTR0079,2026-08-14,INV-88079
setl_0080,pay_0080,order_0080,695456,13909,2504,679043,UTR0080,2026-08-07,REF88080
setl_0081,pay_0081,order_0081,3210971,64219,11559,3135193,UTR0081,2026-08-16,INV-88081
setl_0082,pay_0082,order_0082,578983,11580,2084,565319,UTR0082,2026-08-17,INV-88082
setl_0082b,pay_0082b,order_0082b,578983,11580,2084,565319,UTR0082b,2026-08-17,INV-88082
setl_0083,pay_0083,order_0083,4348940,86979,15656,4246305,UTR0083,2026-08-16,INV-88083
setl_0084,pay_0084,order_0084,3223271,64465,11604,3147202,UTR0084,2026-08-07,INV-88084
setl_0085,pay_0085,order_0085,1279296,25586,4605,1249105,UTR0085,2026-08-15,INV-88085
setl_0086,pay_0086,order_0086,1232884,24658,4438,1203788,UTR0086,2026-08-14,INV-88086
setl_0087,pay_0087,order_0087,230299,4606,829,224864,UTR0087,2026-08-11,INV-88087
setl_0088,pay_0088,order_0088,3574440,71489,12868,3490083,UTR0088,2026-08-08,INV-88088
setl_0089,pay_0089,order_0089,2947166,58943,10610,2877613,UTR0089,2026-08-15,INV-88089
setl_0090,pay_0090,order_0090,3920296,78406,14113,3827777,UTR0090,2026-08-13,INV-88090
setl_0091,pay_0091,order_0091,2405063,48101,8658,2348304,UTR0091,2026-08-18,INV-88091
setl_0092,pay_0092,order_0092,4708992,94180,16952,4597860,UTR0092,2026-08-11,INV-88092
setl_0094,pay_0094,order_0094,743568,14871,2677,726020,UTR0094,2026-08-19,INV-88094
setl_0095,pay_0095,order_0095,2305680,46114,8301,2251265,UTR0095,2026-08-08,INV-88095
setl_0096,pay_0096,order_0096,2961998,59240,10663,2892095,UTR0096,2026-08-03,INV-88096
setl_0097,pay_0097,order_0097,1781590,35632,6414,1739544,UTR0097,2026-08-20,INV-88097
setl_0098,pay_0098,order_0098,2877986,57560,10361,2810065,UTR0098,2026-08-13,INV-88098
setl_0099,pay_0099,order_0099,372688,7454,1342,363892,UTR0099,2026-08-02,INV-88099
setl_0100,pay_0100,order_0100,751225,15025,2705,733495,UTR0100,2026-08-18,INV-88100
setl_0100b,pay_0100b,order_0100b,751225,15025,2705,733495,UTR0100b,2026-08-18,INV-88100
setl_0101,pay_0101,order_0101,3750954,75019,13503,3662432,UTR0101,2026-08-01,INV-88101
setl_0102,pay_0102,order_0102,1027247,20545,3698,1003004,UTR0102,2026-08-08,INV-88102
setl_0103,pay_0103,order_0103,2112323,42246,7604,2062473,UTR0103,2026-08-14,INV-88103
setl_0103b,pay_0103b,order_0103b,2112323,42246,7604,2062473,UTR0103b,2026-08-14,INV-88103
setl_0104,pay_0104,order_0104,2187292,43746,7874,2135672,UTR0104,2026-08-08,INV-88104
setl_0105,pay_0105,order_0105,4364393,87288,15712,4261393,UTR0105,2026-08-01,INV-88105
setl_0106,pay_0106,order_0106,1352667,27053,4870,1320744,UTR0106,2026-08-03,INV-88106
setl_0107,pay_0107,order_0107,3140071,62801,11304,3065966,UTR0107,2026-08-02,INV-88107
setl_0108,pay_0108,order_0108,81121,1622,292,79207,UTR0108,2026-08-03,INV-88108
setl_0109,pay_0109,order_0109,1695645,33913,6104,1655628,UTR0109,2026-08-06,INV-88109
setl_0110,pay_0110,order_0110,2037241,40745,7334,1989162,UTR0110,2026-08-16,INV-88110
setl_0111,pay_0111,order_0111,3471910,69438,12499,3389973,UTR0111,2026-08-08,INV-88111
setl_0112,pay_0112,order_0112,1629848,32597,5867,1591384,UTR0112,2026-08-04,INV-88112
setl_0113,pay_0113,order_0113,4444987,88900,16002,4340085,UTR0113,2026-08-15,INV-88113
setl_0114,pay_0114,order_0114,490460,9809,1766,478885,UTR0114,2026-08-03,INV-88114
setl_0116,pay_0116,order_0116,3312294,66246,11924,3234124,UTR0116,2026-08-13,INV-88116
setl_0117,pay_0117,order_0117,3195225,63904,11503,3119818,UTR0117,2026-08-19,INV-88117
setl_0118,pay_0118,order_0118,4100165,82003,14761,4003401,UTR0118,2026-08-04,INV-88118
setl_0119,pay_0119,order_0119,1445642,28913,5204,1411525,UTR0119,2026-08-20,INV-88119
setl_0120,pay_0120,order_0120,1140705,22814,4107,1113784,UTR0120,2026-08-17,INV-88120
