Date,Invoice No,Party,Amount,Type
2026-08-08,INV-88104,Coral Bay Hospitality,21872.92,Sale
2026-08-01,INV-88105,Ashoka Traders,43643.93,Sale
2026-08-03,INV-88106,Saffron & Co,13526.67,Sale
2026-08-02,INV-88107,Aster Wellness,31400.71,Sale
2026-08-03,INV-88108,Ridgeline Hardware,811.21,Sale
2026-08-06,INV-88109,Aster Wellness,16956.45,Sale
2026-08-16,INV-88110,Orbit Analytics,20372.41,Sale
2026-08-08,INV-88111,Aster Wellness,34719.10,Sale
2026-08-04,INV-88112,Copper Kettle Cafe,16298.48,Sale
2026-08-15,INV-88113,Coral Bay Hospitality,44449.87,Sale
2026-08-03,INV-88114,Coral Bay Hospitality,4904.60,Sale
2026-08-07,INV-88115,Falcon Freight,4570.87,Sale
2026-08-13,INV-88116,Meridian Foods Pvt Ltd,33122.94,Sale
2026-08-19,INV-88117,Meridian Foods Pvt Ltd,31952.25,Sale
2026-08-04,INV-88118,Rana Electricals,41001.65,Sale
2026-08-20,INV-88119,Aster Wellness,14456.42,Sale
2026-08-17,INV-88120,Orbit Analytics,11407.05,Sale
